moody_lighting,"氛围光照"
asymmetrical_sleeves,"不对称袖子"
hoshizora_rin,"星空凛"
kikuchi_mako,"o"
has_bad_revision,"有错误的版本"
print_skirt,"印花裙"
digimon,"数码宝贝"
statue,"雕像"
baby,"宝贝"
poster_(object),"海报(对象)"
wrist_ribbon,"腕带"
monster_boy,"怪物男孩"
squatting_cowgirl_position,"蹲下的女牛仔位置"
crowd,"人群"
crack,"裂纹"
white_bloomers,"白色灯笼裤"
crotchless,"无裆"
machine_gun,"机枪"
naruto_shippuuden,"火影忍者疾风传"
towel_on_head,"头上的毛巾"
blue_fire,"蓝火"
bullet,"子弹"
medium_skirt,"中裙"
ear_covers,"耳罩"
bb_(fate),"bb_(fate)"
boat,"船"
thigh_grab,"大腿抓斗"
pocket_watch,"怀表"
collaboration,"合作"
fate/prototype,"fate/原型"
ex-keine,"前基因"
kasumi_(kancolle),"霞_(舰娘)"
torn_dress,"撕裂的衣服"
iowa_(kancolle),"爱荷华州_(舰娘)"
bear,"熊"
crab,"螃蟹"
letter,"信"
white_neckerchief,"白色围巾"
red_scrunchie,"红色发圈"
yellow_shorts,"黄色短裤"
jeanne_d'arc_(ruler)_(fate),"jeanne_d'arc_(统治者)_(fate)"
klee_(genshin_impact),"可莉(原神)"
tomboy,"假小子"
blood_on_hands,"手上有血"
boy_on_top,"男孩在上面"
kouji_(campus_life),"kouji(校园生活)"
blue_bodysuit,"蓝色紧身连衣裤"
fatal_fury,"致命的愤怒"
spread_anus,"传播肛门"
skullgirls,"骷髅女孩"
pink_necktie,"粉色领带"
locked_arms,"锁臂"
red_buruma,"红色布鲁马"
takanashi_kiara,"高梨_kiara"
whiskers,"胡须"
bodypaint,"人体彩绘"
saber_alter,"军刀改变"
open_hands,"张开双手"
snowman,"雪人"
toilet,"厕所"
ganaha_hibiki,"ganaha_hibiki"
vertical-striped_shirt,"竖条纹衬衫"
animal_on_shoulder,"肩上的动物"
ryouou_school_uniform,"ryouou_校服"
yuubari_(kancolle),"夕张_(舰娘)"
drawing,"绘图"
ginta,"a,银塔"
atago_(azur_lane),"爱宕(碧蓝航线)"
hot,"热"
vertical-striped_thighhighs,"竖条纹长筒袜"
idolmaster_1,"3597"
one-punch_m,"n"
oshino_shinobu,"忍野忍"
fusion,"融合"
guilty_gear_xrd,"有罪齿轮_xrd"
tsunde,"e"
vehicle_focus,"车辆焦点"
hecatia_lapislazuli,"青金石"
imagining,"想象"
kiso_(kancolle),"木曾_(舰娘)"
defeat,"失败"
shimamura_uzuki,"岛村小月"
green_pants,"绿色裤子"
venti_(genshin_impact),"温迪(原神)"
nekomata_okayu,"猫又好友"
argyle_background,"菱形背景"
fire_emblem:_the_blazing_blade,"火焰纹章：炽烈之刃"
bra_visible_through_clothes,"透过衣服可以看到胸罩"
tile_wall,"瓷砖墙"
locker,"储物柜"
soccer_uniform,"足球服"
crotch,"裆部"
steins;gate,"斯坦斯;门"
toeless_footwear,"无趾鞋"
orange_bowtie,"橙色领结"
milk,"牛奶"
flower_knot,"花结"
imminent_rape,"迫在眉睫的强奸"
splatoon_2,"3563"
frilled_pillow,"褶边枕头"
assisted_exposure,"辅助曝光"
jacket_removed,"夹克被移除"
uruha_rushia,"uruha_rushia"
crescent_pin,"月牙针"
wine_bottle,"酒瓶"
byleth_(fire_emblem)_(female),"byleth_(火徽)_(女)"
tiger,"老虎"
watanabe_you,"渡边你"
frilled_collar,"褶边衣领"
zero_two_(darling_in_the_franxx),"零二(弗兰克斯的宠儿)"
asahina_mikuru,"朝比奈未来"
monster_musume_no_iru_nichijou,"怪物娘的_iru_nichijou"
pirate_hat,"海盗帽"
road_sign,"路标"
taihou_(azur_lane),"台后(碧蓝航线)"
kiseru,"kiseru"
bird_tail,"鸟尾"
phantasy_star_online_2,"3504"
yellow_gloves,"黄色手套"
red_(pokemon),"红色(口袋妖怪)"
sagging_breasts,"下垂的乳房"
energy,"能源"
gardevoir,"前卫"
fat_man,"胖子"
death,"死亡"
ash_ketchum,"灰番茄酱"
torn_skirt,"撕裂的裙子"
starfish,"海星"
suite_precure,"套件预治疗"
print_bow,"印花蝴蝶结"
you_gonna_get_raped,"你会被强奸"
fingers_together,"手指在一起"
bat_print,"蝙蝠打印"
crow,"乌鸦"
osomatsu-san,"小松桑"
yellow_panties,"黄色内裤"
gundam_build_fighte,"s"
resident_evil,"生化危机"
back_cutout,"背面镂空"
magia_record:_mahou_shoujo_madoka_magica_gaiden,"魔法记录：魔法少女小圆魔法外传"
unsheathed,"出鞘的"
bikini_tan,"比基尼棕褐色"
1980s_(styl,")"
hiryuu_(kancolle),"hiryuu_(舰娘)"
teacher,"老师"
defloration,"摘花"
morrigan_aensland,"莫里根安斯兰"
alien,"外星人"
green_bowtie,"绿色领结"
game_console,"游戏机"
heart_background,"心脏背景"
soul_gem,"灵魂宝石"
itomugi-k,"n"
soap_bubbles,"肥皂泡"
on_desk,"在办公桌上"
sideways_mouth,"侧嘴"
costume,"服装"
1ko,"a"
uchiwa,"宇智波"
halftone_background,"半色调背景"
meltryllis_(fate),"Meltryllis_(fate)"
very_dark_skin,"皮肤很黑"
takagaki_kaede,"高垣枫"
prinz_eugen_(azur_lane),"欧根亲王(碧蓝航线)"
djeeta_(granblue_fantasy),"djeeta_(granblue_幻想)"
formidable_(azur_lane),"强大(碧蓝航线)"
nintendo_switch,"任天堂开关"
princess_peach,"桃公主"
os-tan,"os-tan"
karyl_(princess_connect!),"卡里尔(公主连接！)"
shirasaka_koume,"白坂小梅"
torn_pants,"撕裂的裤子"
two-sided_fabric,"双面布"
planted_sword,"植剑"
track_pants,"运动裤"
suitcase,"手提箱"
bubble_blowing,"吹泡泡"
stick,"棒"
graf_zeppelin_(kancolle),"graf_zeppelin_(舰娘)"
ultimate_madoka,"终极小圆"
romaji_text,"罗马字"
purple_necktie,"紫色领带"
employee_uniform,"员工制服"
mandarin_orange,"橘子"
eromanga_sensei,"埃罗曼加老师"
sagisawa_fumika,"sagisawa_fumika"
unaligned_breasts,"未对齐的乳房"
spoken_blush,"口红"
gundam_se,"d"
clover,"三叶草"
pink_skin,"粉色皮肤"
cum_pool,"精液池"
obijime,"ojime"
armchair,"扶手椅"
lifebuoy,"救生圈"
skadi_(arknights),"斯卡迪(方舟之夜)"
pouring,"浇注"
tartaglia_(genshin_impact),"达达利亚/公子(原神)"
pointing_up,"向上指"
striped_pantyhose,"条纹连裤袜"
doctor_(arknights),"医生_(arknights)"
kagerou_project,"影楼项目"
wakasagihime,"若狭姬"
blue_wings,"蓝色的翅膀"
tissue_box,"纸巾盒"
holding_shield,"持盾"
school_chair,"学校椅子"
clone,"克隆"
dc_comics,"直流漫画"
shirogane_noel,"白银诺尔"
shingeki_no_bahamut,"shingeki_no_bahamut"
coffee_mug,"咖啡杯"
holding_paper,"持纸"
winter_uniform,"冬季制服"
infinite_stratos,"无限层数"
mountainous_horizon,"多山的地平线"
male_masturbation,"男性手淫"
blue_butterfly,"蓝色蝴蝶"
cloud_strife,"云之争"
heart_necklace,"心形项链"
little_witch_academia,"小魔女学园"
koizumi_hanayo,"小泉花阳"
yurucamp,"yurucamp"
:>=,":>="
red_eyeshadow,"红色眼影"
off-topic,"题外话"
against_glass,"玻璃"
power_armor,"动力装甲"
feet_up,"抬起脚"
silk,"丝绸"
smokestack,"烟囱"
lamia,"喇嘛"
thong_leotard,"丁字裤紧身衣"
swimming,"游泳"
medusa_(rider)_(fate),"美杜莎(骑士)(fate)"
multicolored_skirt,"五彩裙"
blood_from_mouth,"嘴里的血"
blood_on_weapon,"武器上的血迹"
leather_jacket,"皮夹克"
backboob,"后背"
see-through_silhouette,"透视剪影"
blunt_ends,"钝头"
fur-trimmed_boots,"毛边靴子"
kishin_sagume,"机神_sagume"
sode,"苏打"
texas_(arknights),"德州_(arknights)"
2021,"3222"
holding_candy,"拿着糖果"
food_focus,"食物焦点"
red_moon,"红月亮"
black_skin,"黑皮肤"
jar,"罐子"
floppy_ears,"松软的耳朵"
naka_(kancolle),"纳卡_(舰娘)"
kyon,"基恩"
takatsuki_yayoi,"高月弥生"
white_camisole,"白色吊带背心"
flexible,"灵活"
osomatsu-kun,"小松君"
bandaid_on_knee,"膝盖上的创可贴"
hestia_(danmachi),"赫斯提亚_(danmachi)"
toradora!,"toradora!"
holding_pen,"握笔"
orange_jacket,"橙色夹克"
long_bangs,"长刘海"
nanamori_school_uniform,"七森校服"
mitakihara_school_uniform,"三木原校服"
cat_hood,"猫头巾"
puddle,"水坑"
bremerton_(azur_lane),"布雷默顿(碧蓝航线)"
aiming,"瞄准"
backwards_hat,"后帽"
dark_nipples,"黑暗的乳头"
holding_own_arm,"抱着自己的手臂"
thorns,"荆棘"
button_gap,"纽扣间隙"
multicolored_jacket,"五彩夹克"
pointing_at_self,"指着自己"
houseki_no_kuni,"Houseki_no_kuni"
komaeda_nagito,"狛枝nagito"
kirby,"柯比"
recording,"录音"
inugami_korone,"犬神科隆"
multicolored_nails,"五彩指甲"
black_cloak,"黑色斗篷"
pince-nez,"夹鼻眼镜"
no_nipples,"没有乳头"
demon_slayer_uniform,"恶魔杀手制服"
novelty_censor,"新奇审查员"
rei_no_himo,"rei_no_himo"
underboob_cutout,"胸下镂空"
black_suit,"黑色西装"
earth_(planet),"地球(行星)"
black_rock_shooter_(character),"黑岩射手(角色)"
hose,"软管"
miyamoto_musashi_(fate),"宫本武藏(fate)"
grey_cardigan,"灰色开衫"
two-tone_skin,"两色皮肤"
digital_media_player,"数字媒体播放器"
fate/hollow_ataraxia,"fate/空心共济失调"
paradis_military_uniform,"天堂军服"
ear_bow,"耳弓"
bowsette,"蝴蝶结"
blue_buruma,"蓝色布鲁玛"
waist_bow,"腰弓"
sono_bisque_doll_wa_koi_wo_suru,"sono_bisque_娃娃_wa_koi_wo_suru"
banana,"香蕉"
purple_bodysuit,"紫色紧身连衣裤"
kanzaki_ran,"o"
flaccid,"松弛"
sakura_miko,"樱花巫女"
nude_cover,"裸体封面"
selene_(pokemon),"塞勒涅(口袋妖怪)"
blue_socks,"蓝色袜子"
belfast_(azur_lane),"贝尔法斯特(碧蓝航线)"
sleeveless_kimono,"无袖和服"
ambiguous_gender,"性别模糊"
showering,"淋浴"
sirius_(azur_lane),"天狼星(碧蓝航线)"
snout,"鼻子"
spider_lily,"蜘蛛百合"
super_sonico,"超音速"
neon_trim,"霓虹灯饰条"
shide,"实德"
hoshimachi_suisei,"星町水星"
what,"什么"
dolphin_shorts,"海豚短裤"
white_ascot,"白色阿斯科特"
yumemi_riamu,"yumemi_riamu"
belt_collar,"腰带领"
brown_scarf,"棕色围巾"
octopus,"章鱼"
cu_chulainn_(fate/stay_night),"cu_chulainn_(fate/留夜)"
kisume,"kisume"
seaport_princess,"海港公主"
tani_takeshi,"谷武"
yu-gi-oh!_duel_monsters,"游戏王哦！决斗怪物"
baggy_pants,"宽松裤"
cat_paws,"猫爪"
mahou_sensei_negima!,"mahou_老师_negima!"
improvised_gag,"即兴插科打诨"
jougasaki_mika,"城崎美嘉"
narukami_yuu,"鸣神悠"
ishtar_(fate),"伊斯塔(fate)"
arm_around_shoulder,"搂肩"
chuunibyou_demo_koi_ga_shitai!,"chuunibyou_演示_koi_ga_shitai!"
fishing_rod,"钓鱼竿"
falling_leaves,"落叶"
promotional_art,"宣传画"
pole,"杆"
zero_no_tsukai,"a"
horror_(theme),"恐怖(主题)"
framed,"带框的"
paimon_(genshin_impact),"派蒙(原神)"
spider_web,"蜘蛛网"
lily_white,"百合白"
black_flower,"黑花"
pompadour,"蓬巴杜"
film_grain,"胶片颗粒"
fog,"雾"
kunai,"苦无"
aerith_gainsborough,"爱丽丝庚斯博罗"
grey_pantyhose,"灰色连裤袜"
rice_shower_(umamusume),"大米淋浴_(umamusume)"
print_gloves,"印花手套"
;q,";q"
brand_name_imitation,"名牌仿"
glowing_weapon,"发光武器"
kissing_cheek,"亲吻脸颊"
naked_sweater,"裸毛衫"
i-19_(kancoll,")"
kiryu_coco,"桐生可可"
pokemon_frlg,"宠物小精灵_frlg"
fire_emblem:_mystery_of_the_emblem,"火徽：徽记之谜"
furude_rika,"furude_rika"
imminent_vaginal,"迫在眉睫的阴道"
laevatein_(touhou),"laevatein_(东方)"
steel_ball_run,"钢球跑"
aqua_bow,"水弓"
rapier,"剑杆织机"
fairy_(kancolle),"仙女_(舰娘)"
ikari_shinji,"碇真司"
painting_(object),"绘画(对象)"
toe_scrunch,"脚趾蜷缩"
cage,"笼子"
macaron,"马卡龙"
wrench,"扳手"
photo_background,"照片背景"
dated_commentary,"过时的评论"
interface_headset,"接口耳机"
red_sailor_collar,"红色水手领"
adjusting_swimsuit,"调整泳衣"
holding_cigarette,"拿着香烟"
yellow_sweater,"黄色毛衣"
zouri,"祖里"
eula_(genshin_impact),"优菈(原神)"
takebe_sao,"i"
paint.net_(medium),"油漆网(中)"
tsushima_yoshiko,"对马芳子"
purple_rose,"紫玫瑰"
energy_sword,"能量剑"
food_print,"食品印刷品"
tekken,"铁拳"
chicken,"鸡"
date_a_live,"约会生活"
pink_scarf,"粉色围巾"
folded_fan,"折扇"
violin,"小提琴"
mejiro_mcqueen_(umamusume),"mejiro_mcqueen_(umamusume)"
american_flag,"美国国旗"
gokou_ruri,"gokou_ruri"
barnaby_brooks_jr.,"小巴纳比布鲁克斯"
holding_broom,"拿着扫帚"
needle,"针"
zuihou_(kancolle),"醉侯(舰娘)"
boku_wa_tomodachi_ga_sukunai,"boku_wa_tomodachi_ga_sukunai"
demon_boy,"恶魔男孩"
excalibur_(fate/stay_night),"excalibur(fate/留宿之夜)"
perky_breasts,"活泼的乳房"
remote_control,"遥控器"
2othe,"s"
afloat,"漂浮"
leaning_on_person,"靠人"
too_many,"太多了"
amane_kana,"a"
blue_hakama,"蓝色袴"
open_door,"开门"
hands_in_hair,"手在头发"
steepled_fingers,"尖尖的手指"
snk,"snk"
netorare,"netorare"
mascara,"睫毛膏"
sushi,"寿司"
real_life_insert,"现实生活中的插入"
sanya_v._litvyak,"三亚诉利特维亚克案"
sheep,"羊"
maria-sama_ga_miteru,"maria-sama_ga_mitru"
idolmaster_million_live!_theater_days,"偶像大师万住！剧院日"
cat_boy,"猫男孩"
official_wallpaper,"官方壁纸"
sailor_moon,"水手月亮"
v-fin,"V型鳍"
green_sailor_collar,"绿色水手领"
opaque_glasses,"不透明眼镜"
drum,"鼓"
calligraphy_brush,"毛笔"
kuroki_tomoko,"黑木智子"
armpit_hair,"腋毛"
print_bowtie,"印花领结"
tokoyami_towa,"tokoyami_towa"
hypnosis,"催眠"
contrail,"轨迹"
left-handed,"左撇子"
lightning_bolt_symbol,"闪电符号"
o-ring_bottom,"O_型圈底部"
kakyoin_noriaki,"花京院纪明"
nitta_minami,"新田南"
brown_fur,"棕色皮草"
american_flag_dress,"美国国旗连衣裙"
cake_slice,"蛋糕片"
single_sleeve,"单袖"
keyboard_(computer),"键盘(电脑)"
elbow_rest,"肘托"
duel,"决斗"
figure,"图"
holding_bowl,"拿着碗"
zombie_land_saga,"僵尸大地传奇"
explosive,"爆炸物"
scope,"范围"
food_on_body,"身体上的食物"
eila_ilmatar_juutilainen,"艾拉·伊尔马塔尔·尤蒂莱宁"
aqua_(konosuba),"水色_(konosuba)"
cynthia_(pokemon),"辛西娅_(口袋妖怪)"
ereshkigal_(fate),"ereshkigal_(fate)"
kanon_(kurogane_knights),"kanon_(黑金骑士)"
cammy_white,"佳美白"
unicorn_(azur_lane),"独角兽(碧蓝航线)"
love_live!_school_idol_festival,"爱生活！学园偶像祭"
train,"火车"
hololive_indonesia,"hololive_印度尼西亚"
circle,"圈子"
floor,"地板"
grey_hoodie,"灰色连帽衫"
fins,"鳍"
kaburagi_t._kotetsu,"卡布拉吉角光铁"
frilled_gloves,"褶边手套"
stylus,"手写笔"
medical_eyepatch,"医用眼罩"
egyptian,"埃及人"
map,"地图"
oozora_subaru,"oozora_斯巴鲁"
hand_under_clothes,"手放在衣服下面"
fanbox_reward,"粉丝盒奖励"
orange_ribbon,"橙色丝带"
dungeon_and_fighter,"地下城与战士"
string_of_fate,"fate之链"
ahri_(league_of_legends),"阿狸(英雄联盟)"
lower_teeth,"下牙"
office_chair,"办公椅"
character_profile,"人物简介"
animal_crossing,"动物穿越"
final_fantasy_xi,"最终幻想_xi"
ichinose_shiki,"一之濑式"
two-tone_shirt,"两色衬衫"
transformers,"变压器"
i-58_(kancoll,")"
spacecraft,"航天器"
furisode,"风衣"
shiny_pokemon,"闪亮的口袋妖怪"
elden_ring,"埃尔登戒指"
loose_necktie,"宽松领带"
binoculars,"双筒望远镜"
eiyuu_densetsu,"eiyuu_密苏"
orange_flower,"橙花"
test_tube,"试管"
striped_bra,"条纹文胸"
stocking_(psg),"长袜_(psg)"
envelope,"信封"
striped_tail,"条纹尾巴"
horn_bow,"喇叭弓"
medicine_melancholy,"药忧郁"
evangelion:_3.0_you_can_(not)_re,"o"
green_leotard,"绿色紧身衣"
paper_bag,"纸袋"
kotomine_kirei,"言峰kirei"
lion_tail,"狮子尾巴"
yahari_ore_no_seishun_lovecome_wa_machigatteiru.,"yahari_ore_no_seishun_lovecome_wa_machigatteiru."
lemon,"柠檬"
lunasa_prismriver,"lunasa_棱镜河"
uneven_eyes,"不均匀的眼睛"
rod_of_remorse,"悔恨之杖"
lucina_(fire_emblem),"lucina_(火徽)"
yagami_hayate,"八神速风"
basketball,"篮球"
bkub,"bkub"
baozi,"包子"
milestone_celebration,"里程碑庆典"
bad_feet,"坏脚"
open_dress,"开襟连衣裙"
sennen_sensou_aigis,"sennen_sensou_aigis"
sonic_(series),"声波(系列)"
maya_(kancolle),"玛雅_(舰娘)"
scan_artifacts,"扫描伪影"
after_anal,"肛门后"
corrin_(fire_emblem),"corrin_(火徽)"
sake_bottle,"清酒瓶"
multiple_crossover,"多重交叉"
tight_pants,"紧身裤"
uranohoshi_school_uniform,"浦之星校服"
suction_cups,"吸盘"
breast_slip,"胸滑"
naganami_(kancolle),"长波_(舰娘)"
alice_in_wonderland,"爱丽丝梦游仙境"
candy_apple,"糖果苹果"
yuri!!!_on_ice,"尤里！！！在冰上"
commander_(azur_lane),"指挥官(碧蓝航线)"
partially_undressed,"部分脱衣服"
rubber_duck,"橡皮鸭"
hand_on_own_arm,"手放在自己的手臂上"
ookami_mio,"大神澪"
blue_scrunchie,"蓝色发圈"
fur-trimmed_headwear,"毛边头饰"
serena_(pokemon),"瑟琳娜_(口袋妖怪)"
asuna_(blue_archive),"亚丝娜(蓝色档案)"
father_and_son,"父子"
pussy_juice_stain,"猫汁染色"
commissioner_upload,"专员上传"
kokkoro_(princess_connect!),"kokkoro(公主连接！)"
pink_leotard,"粉色紧身衣"
the_legend_of_zelda:_twilight_princess,"塞尔达传说：暮光公主"
mouse_girl,"鼠标女孩"
haruno_sakura,"春野樱"
chewing_gum,"口香糖"
pizza,"比萨"
reverse_outfit,"反向装"
footwear_bow,"鞋弓"
machikado_mazoku,"町门魔族"
yamakaze_(kancolle),"山风_(舰娘)"
swim_trunks,"泳裤"
holding_towel,"拿毛巾"
taur,"牛头人"
anastasia_(idolmaster),"阿纳斯塔西娅_(偶像大师)"
hiiragi_tsuka,"a"
nightcap,"睡帽"
submerged,"淹没"
pumps,"泵"
pink_shorts,"粉色短裤"
digimon_(creature),"数码宝贝(生物)"
grey_vest,"灰色背心"
hinata_hajime,"雏田始"
mismatched_gloves,"不匹配的手套"
no_shirt,"没有衬衫"
parfait,"冻糕"
pink_cardigan,"粉色开衫"
hooded_capelet,"连帽披肩"
ouma_kokichi,"ouma_kokichi"
pokemon_rse,"宠物小精灵_rse"
copyright,"版权"
gae_bolg_(fate),"gae_bolg_(fate)"
holding_pokemon,"拿着口袋妖怪"
2022,"2706"
drop_shadow,"投影"
murasame_(kancolle),"村雨_(舰娘)"
son_goku,"孙悟空"
shotgun,"霰弹枪"
tony_taka,"托尼塔卡"
holding_mask,"拿着口罩"
obliques,"斜体"
grabbing_another's_ass,"抓住别人的屁股"
kirito,"桐人"
two-tone_fur,"两色皮草"
background_text,"背景文字"
covered_collarbone,"覆盖锁骨"
blue_capelet,"蓝色披肩"
shirogane_naoto,"白银直人"
arm_rest,"扶手"
blue_pantyhose,"蓝色连裤袜"
daiwa_scarlet_(umamusume),"大和猩红_(umamusume)"
framed_breasts,"带框的乳房"
penis_on_face,"阴茎在脸上"
flashing,"闪烁"
holding_camera,"拿着相机"
colored_pubic_hair,"有色阴毛"
flower-shaped_pupils,"花形瞳孔"
tales_of_vesperia,"晚祷的故事"
mercy_(overwatch),"怜悯(守望先锋)"
polos_crown,"马球皇冠"
kitagawa_marin,"北川马林"
kuromorimine_military_uniform,"黑森峰军装"
gradient_sky,"渐变天空"
pokemon_masters_ex,"口袋妖怪大师_ex"
ejaculating_while_penetrated,"射精_同时_穿透"
kamisato_ayaka,"上里绫香"
nia_teppelin,"尼亚特佩林"
lip_biting,"咬唇"
green_bra,"绿色文胸"
pokemon_adventures,"口袋妖怪历险记"
doremy_sweet,"多米甜心"
duck,"鸭子"
kingdom_hearts,"王国之心"
sakurauchi_riko,"樱内理子"
florence_nightingale_(fate),"佛罗伦萨夜莺(fate)"
energy_gun,"能量枪"
japari_symbol,"加帕里符号"
throwing,"投掷"
lying_on_person,"躺在人身上"
forked_eyebrows,"分叉的眉毛"
yukihana_lamy,"雪花拉米"
edelgard_von_hresvelg,"edelgard_von_hresvelg"
harpy,"哈比"
misty_(pokemon),"朦胧(口袋妖怪)"
red_headband,"红色头带"
reverse_suspended_congress,"反向暂停国会"
jack_the_ripper_(fate/apocrypha),"开膛手杰克(fate/伪经)"
deep_penetration,"深度渗透"
obiage,"义务"
leg_hair,"腿毛"
metal_gear_(series),"金属齿轮(系列)"
paint_splatter,"油漆飞溅"
clothes_grab,"衣服抓斗"
giorno_giovanna,"乔鲁诺乔瓦纳"
hiding,"隐藏"
frilled_swimsuit,"荷叶边泳衣"
project_sekai,"世界项目"
shimada_arisu,"岛田有栖"
ump45_(girls'_frontlin,")"
hands_in_opposite_sleeves,"双手反袖"
hyouka,"冰花"
katyusha_(girls_und_panzer),"喀秋莎(少女与装甲)"
holding_another's_arm,"挽着别人的胳膊"
tablet_pc,"平板电脑"
kay_(girls_und_panzer),"凯(少女与装甲)"
z1_leberecht_maass_(kancoll,")"
pink_neckerchief,"粉色围巾"
single_kneehigh,"单膝高"
squirrel_tail,"松鼠尾巴"
sheryl_nome,"雪莉诺姆"
black_armor,"黑色盔甲"
seagull,"海鸥"
shovel,"铲子"
kujo_jolyne,"九条乔琳"
tomoe_(symbol),"tomoe(符号)"
toy,"玩具"
earbuds,"耳塞"
scar_on_chest,"胸部疤痕"
white_vest,"白色背心"
darkness,"黑暗"
fresh_precure!,"新鲜的预治疗！"
irrumatio,"不规则"
asymmetrical_footwear,"不对称鞋"
hands_on_another's_shoulders,"双手搭在别人的肩膀上"
prosthetic_arm,"假肢"
dress_bow,"礼服蝴蝶结"
happy_halloween,"万圣节快乐"
multiple_rings,"多环"
body_markings,"车身标记"
purple_umbrella,"紫色伞"
yellow_scarf,"黄色围巾"
w_arms,"w_武器"
egasumi,"江澄"
futaba_anzu,"双叶安祖"
partially_unzipped,"部分解压"
bandaged_hand,"绷带的手"
anus_peek,"肛门窥视"
uzumaki_naruto,"漩涡鸣人"
midoriya_izuku,"绿谷_izuku"
blue-framed_eyewear,"蓝框眼镜"
slime_girl,"史莱姆女孩"
z3_max_schultz_(kancoll,")"
higuchi_madoka,"樋口圆"
ayanami_(azur_lane),"绫波(碧蓝航线)"
magazine_(weapon),"杂志(武器)"
spitroast,"吐司"
taihou_(kancolle),"太后_(舰娘)"
galaga,"加拉加"
holding_box,"保温箱"
purple_vest,"紫色背心"
speaker,"扬声器"
grey_sailor_collar,"灰色水手领"
audible_speech,"听得见的演讲"
pecorine_(princess_connect!),"佩科林(公主连接！)"
treble_clef,"高音谱号"
sandwich,"三明治"
iskandar_(fate),"依斯干达_(fate)"
street_fighter_v,"街头霸王_v"
waver_velvet,"波浪绒"
loose_belt,"松紧带"
megaphone,"扩音器"
kuma_(kancolle),"kuma_(舰娘)"
takarada_rikka,"宝田梨花"
evangelion:_2.0_you_can_(not)_advan,"e"
miniboy,"小男孩"
orange_bodysuit,"橙色紧身连衣裤"
stomach_tattoo,"腹部纹身"
arm_around_waist,"搂腰"
miura_azusa,"三浦梓"
shikishi,"四季"
fire_emblem:_the_binding_blade,"火焰纹章：束缚之刃"
penis_awe,"阴茎敬畏"
feather_boa,"羽毛围巾"
gold_ship_(umamusume),"金船_(umamusume)"
plantar_flexion,"跖屈"
licking_finger,"舔手指"
ear_ornament,"耳饰"
surreal,"超现实主义"
fire_emblem:_path_of_radiance,"火徽：光辉之路"
holding_lollipop,"拿着棒棒糖"
humanization,"人性化"
hyuuga_hinata,"日向雏田"
spice_and_wolf,"香料和狼"
bubble_tea,"珍珠奶茶"
grenade,"手榴弹"
tomato,"番茄"
a1,"2508"
pancake,"煎饼"
hagiwara_yuki,"o"
jacket_around_waist,"腰围夹克"
shirt_tug,"衬衫拖船"
spoken_squiggle,"口语花体字"
bunny_print,"兔子印花"
jonathan_joestar,"乔纳森·乔斯塔"
ruu_(tksymkw),"ruu_(tksymkw)"
soda_can,"汽水罐"
newspaper,"报纸"
i-401_(kancoll,")"
warspite_(kancolle),"厌战(舰娘)"
samurai_spirits,"武士精神"
shirai_kuroko,"白井黑子"
skates,"溜冰鞋"
akigumo_(kancolle),"秋云_(舰娘)"
humanoid_robot,"人形机器人"
narmaya_(granblue_fantasy),"narmaya(碧蓝幻想)"
shenhe_(genshin_impact),"申鹤(原神)"
5ko,"a"
saihara_shuuichi,"西原修一"
horned_headwear,"角头饰"
fighting,"战斗"
xiao_(genshin_impact),"魈(原神)"
lion_girl,"狮子女孩"
izumi_sagiri,"泉纱雾"
bag_charm,"包包吊饰"
blade_(galaxist),"刀片(银河系)"
fusou_(kancolle),"扶桑_(舰娘)"
jougasaki_rika,"城崎梨香"
murasaki_shion,"紫苑"
lily_pad,"睡莲"
mario,"马里奥"
pith_helmet,"髓头盔"
ryuuguu_rena,"龙宫玲奈"
2020,"2478"
finger_on_trigger,"扳机上的手指"
mikasa_ackerman,"三笠阿克曼"
mochi,"麻糬"
chest_harness,"胸带"
chloe_von_einzbern,"克洛伊冯einzbern"
hair_tie_in_mouth,"发带在嘴里"
left-to-right_manga,"从左到右的漫画"
lifting_person,"起重人"
nami_(one_piece),"纳米(一件)"
pyonta,"平塔"
dark_souls_(series),"黑暗之魂(系列)"
idolmaster_side-m,"偶像大师侧-m"
in_tree,"在树中"
non-human_admiral_(kancolle),"非人类海军上将_(舰娘)"
audible_music,"听得见的音乐"
in_box,"在盒子里"
shishiro_botan,"shishiro_牡丹"
aisaka_taiga,"相坂大河"
eevee,"伊布"
midorikawa_nao,"绿川直"
elizabeth_bathory_(fate),"伊丽莎白巴托里(fate)"
beer_can,"啤酒罐"
food_on_head,"头上的食物"
hand_on_head,"手放在头上"
uraraka_ochako,"浦坂御茶子"
common_raccoon_(kemono_friends),"普通浣熊_(kemono_朋友)"
fire_emblem:_radiant_dawn,"火焰纹章：光芒四射的黎明"
leaf_print,"叶印"
midair,"半空"
reizei_mako,"灵精真子"
uneven_gloves,"不均匀的手套"
deepthroat,"阴道"
watson_cross,"沃森十字"
yugake,"游乐"
thumb_ring,"拇指环"
frying_pan,"煎锅"
ranma_1/2,"2448"
stitched,"缝合"
vegetable,"蔬菜"
yellow_rose,"黄玫瑰"
trainer_(umamusume),"教练_(umamusume)"
ankle_ribbon,"脚踝丝带"
ceiling,"天花板"
matsunaga_kouyou,"matsunaga_kouyou"
yuki_mi,"u"
panda,"熊猫"
spoken_interrobang,"口语询问"
guilty_gear_strive,"有罪_齿轮_努力"
